name,lat,long,count,date,certainty_index
UNC Chapel Hill,35.91177641,-79.04727727,49.0,2008-04-30 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,1340.0,2008-04-30 00:00:00,1
UIUC,40.10440926,-88.22933583,284.0,2008-04-30 00:00:00,1
"University of Maryland, College Park",38.98690162,-76.94130975,90.0,2008-04-30 00:00:00,1
North Carolina State University,35.78748428,-78.66939426,30.0,2008-04-30 00:00:00,1
Smithsonian Libraries and Archives,38.89132735,-77.02586404,1.0,2008-04-30 00:00:00,1
"Natural History Museum Library, London",51.49684189,-0.1762706424,77.0,2008-04-30 00:00:00,1
University of Toronto,43.66312452,-79.3955813,2100.0,2008-05-31 00:00:00,1
Allen County Public Library Geneaology Center,41.07773159,-85.14224798,31.0,2008-05-31 00:00:00,1
UCLA,34.071863589276,-118.2538418,1454.0,2008-05-31 00:00:00,1
Princeton University,40.34604013,-74.66685643,422.0,2008-05-31 00:00:00,1
Boston Public Library,42.34936189,-71.07819992,995.0,2008-05-31 00:00:00,1
Library of Congress,38.8895692,-77.0045688,1482.0,2008-05-31 00:00:00,1
Columbia University,40.80657713,-73.96320572,701.0,2008-05-31 00:00:00,1
UNC Chapel Hill,35.91177641,-79.04727727,20.0,2008-05-31 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,1627.0,2008-05-31 00:00:00,1
UIUC,40.10440926,-88.22933583,400.0,2008-05-31 00:00:00,1
"University of Maryland, College Park",38.98690162,-76.94130975,94.0,2008-05-31 00:00:00,1
North Carolina State University,35.78748428,-78.66939426,34.0,2008-05-31 00:00:00,1
Smithsonian Libraries and Archives,38.89132735,-77.02586404,3.0,2008-05-31 00:00:00,1
"Natural History Museum Library, London",51.49684189,-0.1762706424,73.0,2008-05-31 00:00:00,1
University of Toronto,43.66312452,-79.3955813,2233.0,2008-06-30 00:00:00,1
Allen County Public Library Geneaology Center,41.07773159,-85.14224798,285.0,2008-06-30 00:00:00,1
UCLA,34.071863589276,-118.2538418,1164.0,2008-06-30 00:00:00,1
Princeton University,40.34604013,-74.66685643,755.0,2008-06-30 00:00:00,1
Boston Public Library,42.34936189,-71.07819992,913.0,2008-06-30 00:00:00,1
Library of Congress,38.8895692,-77.0045688,2216.0,2008-06-30 00:00:00,1
Columbia University,40.80657713,-73.96320572,1036.0,2008-06-30 00:00:00,1
UNC Chapel Hill,35.91177641,-79.04727727,33.0,2008-06-30 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,1440.0,2008-06-30 00:00:00,1
UIUC,40.10440926,-88.22933583,255.0,2008-06-30 00:00:00,1
"University of Maryland, College Park",38.98690162,-76.94130975,53.0,2008-06-30 00:00:00,1
North Carolina State University,35.78748428,-78.66939426,20.0,2008-06-30 00:00:00,1
Smithsonian Libraries and Archives,38.89132735,-77.02586404,2.0,2008-06-30 00:00:00,1
