,name,alt_names,total_scans,start_date,end_date,months,average_scans_per_month,total_books,total_pages,median_turnover,days,total_workers,total_days_worked,productivity_per_worker
27,Georgetown University,['tt_georgetown'],1189,2015-09-30 0:00:00,2019-12-31 0:00:00,57,20,218,68318.0,83.0,2675.0,18,5670,12.049029982363315
28,The Archive of Contemporary Music,['manhattan'],1542,2011-07-31 0:00:00,2016-12-31 0:00:00,73,21,3020,841225.0,77.0,2176.0,68,11106,75.74509274266163
29,Servants of Knowledge,"['tt_bangalore ', ' tt_sok']",66,2019-03-31 0:00:00,0000-00-00,3,22,15642,2878783.0,550.5,1563.0,8,3174,906.988972904852
30,University of Florida,['gainesville'],624,2015-06-30 0:00:00,2018-12-31 0:00:00,27,23,8289,1482060.0,222.0,1515.0,13,4221,351.11584932480457
31,Getty Research Institute,['tt_getty'],82,2016-08-31 0:00:00,2019-02-28 0:00:00,3,27,195,60557.0,294.0,1321.0,2,588,102.98809523809524
32,National Library of Scotland,['edinburgh'],2126,2008-08-31 0:00:00,2013-12-31 0:00:00,59,36,4929,2092221.0,371.0,2018.0,7,2327,899.1065749892565
33,North Carolina State University,['raleigh'],968,2008-02-29 0:00:00,2009-12-31 0:00:00,26,37,3198,1380711.0,383.0,791.0,8,2824,488.92032577903683
34,San Francisco Public Library,['sfciviccenter'],1908,2011-10-31 0:00:00,2016-12-31 0:00:00,46,41,11286,3284598.0,122.0,2100.0,25,9936,330.5754830917874
35,Duke University,"['durham ', ' durham2 ', ' Durham']",7003,2009-01-31 0:00:00,2021-12-31 0:00:00,147,47,21850,5945555.0,411.0,5322.0,10,11870,500.8892165122157
36,Brown University,"['providence ', ' tt_providence']",7216,2010-03-31 0:00:00,2020-12-31 0:00:00,144,50,19711,3958092.0,1892.0,4832.0,8,13108,301.96002441257247
37,"BYU, Provo",['provo'],9614,2009-06-30 0:00:00,2021-12-31 0:00:00,153,62,39265,7030139.0,2300.0,5109.0,57,129214,54.4069450678719
38,American Numismatic Society,['tt_numismatic'],3800,2015-12-31 0:00:00,2018-12-31 0:00:00,55,69,15554,762417.0,791.0,2728.0,4,3528,216.1045918367347
39,"University of Maryland, College Park",['maryland'],1086,2007-11-30 0:00:00,2008-12-31 0:00:00,15,72,2452,272263.0,828.0,437.0,3,1656,164.41002415458937
40,Getty Research Institute Valencia Warehouse,['valencia'],6925,2013-07-31 0:00:00,2021-12-31 0:00:00,91,76,24347,8251324.0,595.0,3604.0,16,13247,622.8824639541028
41,UNC Chapel Hill,['chapelhill'],17035,2007-12-31 0:00:00,2021-12-31 0:00:00,137,124,59079,9237499.0,561.5,5653.0,26,26746,345.3787108352651
42,UIUC,"['ill ', ' il']",31803,2001-12-31 0:00:00,2021-12-31 0:00:00,185,171,104372,28038883.0,363.0,7840.0,75,34333,816.6744240235342
43,Princeton University,"['nj ', ' tt_pts']",36765,2008-04-30 0:00:00,2021-12-31 0:00:00,165,222,192458,34366276.0,257.0,7823.0,125,88794,387.0337635425817
44,Allen County Public Library Geneaology Center,['indiana'],46860,2002-01-31 0:00:00,2021-12-31 0:00:00,171,274,214706,42299110.0,273.5,7817.0,161,102550,412.4730375426621
45,Boston Public Library,"['boston ', ' Boston ', ' tt_bostonuniversity']",52844,2007-01-31 0:00:00,2021-12-31 0:00:00,184,287,256899,58382932.0,429.0,5999.0,146,110754,527.1406179460787
46,UCLA,"['la ', ' iala ', ' santamonica']",76172,2006-07-31 0:00:00,2021-12-31 0:00:00,175,435,157748,52559251.0,187.0,6155.0,116,51630,1017.9982761960101
47,Columbia University,['nyc'],22432,2002-01-31 0:00:00,2010-12-31 0:00:00,51,439,62910,21139402.0,178.0,3625.0,79,47501,445.03067303846234
